"id","estado","sigla","regiao"
1,"Acre","AC"," Norte"
2,"Alagoas","AL"," Nordeste"
3,"Amapá","AP"," Norte"
4,"Amazonas","AM"," Norte"
5,"Bahia","BA"," Nordeste"
6,"Ceará","CE"," Nordeste"
7,"Distrito Federal","DF"," Centro-Oeste"
8,"Espírito Santo","ES"," Sudeste"
9,"Goiás","GO"," Centro-Oeste"
10,"Maranhão","MA"," Nordeste"
11,"Mato Grosso","MT"," Centro-Oeste"
12,"Mato Grosso do Sul","MS"," Centro-Oeste"
13,"Minas Gerais","MG"," Sudeste"
14,"Pará","PA"," Norte"
15,"Paraíba","PB"," Nordeste"
16,"Paraná","PR"," Sul"
17,"Pernambuco","PE"," Nordeste"
18,"Piauí","PI"," Nordeste"
19,"Rio de Janeiro","RJ"," Sudeste"
20,"Rio Grande do Norte","RN"," Nordeste"
21,"Rio Grande do Sul","RS"," Sul"
22,"Rondônia","RO"," Norte"
23,"Roraima","RR"," Norte"
24,"Santa Catarina","SC"," Sul"
25,"São Paulo","SP"," Sudeste"
26,"Sergipe","SE"," Nordeste"
27,"Tocantins","TO"," Norte"
