"numero_processo","ano","un_tecnica_responsavel","un_responsavel_agir","relator","assunto","ano_final"
320204,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",13,"TCE instaurada pelo(a) Financiadora de Estudos e Projetos em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Contrato de subvenção econômica 01.08.0249.00, firmado com o/a FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO , função SAUDE, que teve como objeto SISTEMA DE INTERNET BANDA LARGA POR TECNOLOGIA DECT (nº da TCE no sistema: 1295/2018).",2022
420219,2021,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",8,"TCE instaurada pelo(a) Caixa Econômica Federal (mandatária no(a) SUBSECRETARIA DE PLANEJAMENTO, ORÇAMENTO E ADMINISTRAÇÃO - ME) em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Termo de compromisso CR.NR.0416059-00, firmado com o/a MINISTERIO DO ESPORTE, Siafi/Siconv 676837, função DESPORTO E LAZER, que teve como objeto PARQUE OLIMPICO DA BARRA CENTRO DE TENIS (nº da TCE no sistema: 1217/2019).",2022
520207,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",8,"TCE instaurada pelo(a) Empresa Brasileira de Correios e Telégrafos em razão de Desfalque, alcance, desvio ou desaparecimento de dinheiro, bens ou valores públicos, Gestão de bens, dinheiros ou valores públicos, Prejuízo causado por fraude/desvio ocorrido no âmbito da Empresa Brasileira de Correios e Telégrafos (nº da TCE no sistema: 1448/2018).",2020
520215,2021,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Caixa Econômica Federal (mandatária no(a) SUBSECRETARIA DE PLANEJAMENTO, ORÇAMENTO E ADMINISTRAÇÃO - ME) em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Contrato de repasse CR.NR.0241935-85, firmado com o/a CAIXA ECONÔMICA FEDERAL, Siafi/Siconv 608746, função DESPORTO E LAZER, que teve como objeto CONSTRUCAO DE QUADRAS POLIESPORTIVAS NO MUNICIPIO DE PENEDO AL (nº da TCE no sistema: 1203/2018).",2022
720200,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",13,"TCE instaurada pelo(a) Financiadora de Estudos e Projetos em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Contrato de subvenção econômica 01.09.0139.00, firmado com o/a FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO, função SAUDE, que teve como objeto DISPLAY BRAILE PARA PC - DISPOSITIVO PARA LEITURA E INTERPRETAÇÃO EM MICROCOMPUTADORES UTILIZADO POR DEFICIENTES VISUAIS-AUDITIVOS (nº da TCE no sistema: 1631/2018).",2022
920202,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) Financiadora de Estudos e Projetos em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Termo de cooperação 01.09.0512.00, firmado com o/a undo Nacional do Desenvolvimento Científico e Tecnológico, função DIREITOS DA CIDADANIA, que teve como objeto Unidade Multidisciplinar de Estudos e Pesquisas em Saúde (nº da TCE no sistema: 1678/2018).",2021
1020200,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",7,"TCE instaurada pelo(a) Conselho Nacional de Desenvolvimento Científico e Tecnológico em razão de Prática de qualquer ato ilegal, ilegítimo ou antieconômico de que resulte dano ao erário, Termo de concessão e aceitação de bolsa no país/exterior 004421/2019-14, firmado com o/a CONSELHO NAC DE DESENV CIENT E TECNOLOGICO, função CIENCIA E TECNOLOGIA, que teve como objeto Bolsa exterior - Estratégia para conservação da onça pintada na mata Atlântica Brasileira:Pesquisa, publicações e plano de manejo de metapopulação para a espécie. (nº da TCE no sistema: 1330/2019).",2021
1220203,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",13,"TCE instaurada pelo(a) Financiadora de Estudos e Projetos em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Contrato de subvenção econômica 01.07.0349.00, firmado com o/a FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO, função SAUDE, que teve como objeto Controle dinâmico de imagem em câmera digital de alta resolução (nº da TCE no sistema: 742/2018).",2021
1420206,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",7,"TCE instaurada pelo(a) Conselho Nacional de Desenvolvimento Científico e Tecnológico em razão de Prática de qualquer ato ilegal, ilegítimo ou antieconômico de que resulte dano ao erário, Termo de concessão e aceitação de bolsa no país/exterior 000749/2007-11, firmado com o/a CONSELHO NAC DE DESENV CIENT E TECNOLOGICO, função ASSISTENCIA SOCIAL, que teve como objeto Bolsa no país - viver e conviver na potosi do século XVI (nº da TCE no sistema: 639/2019).",2021
1820171,2017,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pela Fundo Nacional de Assistência Social, em razão da Impugnação total de despesas, Proteção Social Básica (PSB) e Proteção Social Especial (PSE), celebrado com a Prefeitura Municipal de Ibicoara/BA, (Gestão: 2009-2012), (Processo original: 71000.039979/2016- 20).",2020
