"id_processo","id_unidades_jurisdicionadas"
1138620223,836
1138320224,1945
723820223,NULL
645720223,95
611320222,858
605520222,1529
538320226,103
398620225,705
377920220,1958
357320222,1045
351720225,889
165320229,75
165120226,1079
164720229,1314
16720223,2341
4574120212,1875
4558420214,27
4557520215,27
4557420219,27
4549320219,27
4506420210,2300
4499720213,163
4473220210,176
4287720210,57
4280320217,970
4278720211,621
4202520214,783
4193520217,301
3988620212,273
3854120211,176
3844320210,2369
3834420211,27
3565520216,2271
2596520212,2316
2596420216,743
2580620211,158
2546020218,273
2538020214,163
2190420219,75
2003920212,NULL
2002820210,NULL
2002020210,2299
2001020214,NULL
1887720214,163
1663220214,105
1506920214,39
1471520210,273
1469220210,273
1457520213,44
1457320210,44
1457120218,47
1456720210,44
1455120217,47
1408520216,105
1398120218,166
1397120212,2342
1390220210,166
1390020218,2337
1387720216,2340
1386820217,167
1386620214,167
1381320218,2348
1328320219,105
1320020216,160
1265720212,874
1264220215,39
1255020213,273
1253820213,163
1231620210,57
1231320211,273
983320218,2305
978420217,257
954120217,578
902420212,49
902320216,NULL
866820213,1497
856820219,105
845320217,75
836520210,273
835320212,273
741920210,166
664120210,57
664020214,57
632420215,166
630020219,2348
598920213,57
559020213,2088
557620210,NULL
547620216,44
541820216,1405
535020212,254
534820218,663
534720211,254
528620212,1361
528420210,163
528020214,1116
469520216,1326
468820210,166
468720213,166
467820214,166
467520215,166
466920215,166
466120214,166
465520214,2342
465420218,166
464120213,2342
463320210,2344
462920213,166
462120212,166
461220213,58
460920212,2338
460820216,2339
460720210,334
460620213,334
460520217,1713
460220218,2340
388220217,39
30620215,273
30220210,333
30020217,273
27820211,173
22920210,2299
16220213,39
15920212,39
13820215,1623
520215,1623
420219,57
4782120205,273
4782020209,39
4781820204,39
4781520205,41
4780920205,2333
4780720202,2206
4780620206,57
4779820203,39
4772920201,1534
4770920200,57
4766920209,39
4766820202,39
4766020201,1666
4765720200,677
4765620204,57
4756420202,1271
4749320208,44
4749020209,2300
4748920200,2300
4748620201,160
4748520205,160
4748220206,44
4747020208,39
4743320205,163
4689120200,39
4677220200,57
4676820203,273
4573620200,941
4572920204,1109
4572320206,618
4569720205,NULL
4569020200,166
4568220208,166
4567920207,166
4567620208,2341
4567220202,166
4567120206,1066
4542220206,634
4542120200,1440
4541720202,2339
4523820200,1326
4523520201,163
4521820200,39
4502620203,163
4500420200,273
4499920208,2251
4499620209,1999
4455220203,973
4432520207,1384
4430520206,39
4430120200,2095
4081020208,69
4080620200,NULL
4079720201,75
4079620205,166
4078320200,166
4042220208,1207
3975920202,57
3975420200,73
3957020207,2299
3955920203,1815
3954620209,303
3929320203,105
3929220207,42
3929120200,3
3927420209,NULL
3927020203,1630
3926320207,2381
3925320201,677
3925020202,2251
3924920204,2060
3924820208,483
3681520209,415
3614920209,426
3614720206,1380
3613320205,2100
3612520202,2126
3611420200,166
3611320204,2381
3610820200,2342
3609620202,2345
3609520206,52
3594520206,1978
3593720203,2349
3528120200,2299
3527820200,2299
3527620207,57
3517020204,40
3516920206,2275
3515120200,166
3514620206,760
3513820203,1407
3512420202,NULL
3512220200,1773
3512020207,NULL
3511420207,160
3393720206,1
3391720205,2299
3391320200,166
3390620203,894
3390020205,1674
3389820200,166
3389320209,693
3376320208,743
3375720208,1519
3358920208,240
3356720204,273
3354620207,273
3353820204,2299
3353720208,2299
3353420209,2299
3325920208,1924
3325520202,855
3325420206,1400
3325320200,1721
3325020200,1394
3317720201,1203
3317620205,166
3317120203,2259
3317020207,591
3316920209,2340
3316320200,2336
3315620204,NULL
3315320205,2299
3315220209,392
3144720201,1878
3143220204,2301
3142920203,677
3142820207,2020
3142520208,1196
3142320205,1519
3141020200,2131
3140920202,392
3140320204,1799
3140020205,633
3139520201,1092
3139220202,2101
3138820205,1944
3134920200,45
3133920204,49
3133220200,NULL
3131920203,1599
3131820207,52
3131720200,52
2967220201,2338
2967120205,2340
2966320202,57
2966220206,57
2966120200,166
2947720204,2301
2946320203,NULL
2944920200,273
2944520205,2333
2942120209,NULL
2941520209,2299
2941420202,2299
2941320206,166
2940320200,1935
2939320205,2342
2939120202,NULL
2908120203,289
2907620200,1113
2907520203,166
2906120202,220
2905420206,258
2904720200,2299
2904420200,765
2903120206,2301
2902320203,227
2900520205,127
2900320202,12
2899920207,2357
2899720204,2381
2898920201,680
2898720209,1714
2898620202,2057
2897720203,1189
2838320206,52
2838120203,2275
2838020207,52
2836520208,2300
2834920202,75
2834320204,1102
2833520201,1588
2833420205,160
2832120200,166
2684320200,1320
2678520200,2299
2677220205,2299
2674120202,335
2673920208,1117
2673820201,2259
2658520200,2299
2658420204,2299
2658120205,967
2657620201,795
2657120200,115
2656020208,1094
2655620200,57
2655320201,702
2632720201,254
2632320206,254
2625220201,99
2624820204,1417
2624720208,NULL
2624620201,166
2624520205,166
2619120202,166
2618820201,166
2618220203,166
2618120207,2331
2616220202,166
2615920201,166
2592620209,45
2591420200,2299
2590920207,2299
2590120206,NULL
2589620202,2299
2589420200,2299
2589320203,2299
2588820200,2301
2588720203,1595
2588420204,163
2588320208,2300
2587720208,104
2587420209,1958
2586120204,491
2586020208,163
2585920200,1092
2584920204,406
2584820208,1862
2584720201,57
2584220200,1609
2584120203,922
2583620200,57
2549420201,NULL
2538520208,119
2537520202,679
2537220203,679
2536820206,637
2536620203,1329
2496820200,686
2496020209,167
2495720208,2347
2492920204,99
2464120200,2299
2464020204,2231
2463820200,NULL
2462820204,2299
2462620201,NULL
2462420209,367
2461920205,2299
2461420203,2299
2428920205,99
2424020206,254
2423420206,57
2416320201,57
2416120209,693
2415820208,163
2415620205,1310
2415220200,166
2414820202,166
2414320200,1597
2414220204,741
2413520208,1301
2412420206,166
2272720205,18
2262820207,110
2189320209,77
2144620202,166
2144520206,562
2137020206,163
2136820201,1822
2132520200,163
2132120205,1130
2129020202,2029
2128520209,994
2128420202,163
2127920209,1130
2110220201,277
2106720201,45
2098120201,254
2097920207,254
2094720208,2299
2040120205,166
2039720208,166
2039420209,57
2039120200,1573
2038020208,57
2032220208,2299
2031620208,2299
2025620205,2359
2019820205,518
2019620202,NULL
2018920206,NULL
2018420204,57
2018020209,NULL
2017820204,NULL
1996020204,2342
1995620207,1026
1992920200,1499
1992520204,163
1992420208,1713
1992020202,1924
1991920204,NULL
1991820208,2140
1985920201,2356
1955520202,72
1954520207,NULL
1954320204,972
1954220208,484
1953920207,1595
1953420205,2299
1953320209,166
1949920205,1243
1948720207,NULL
1945220209,178
1930120200,166
1928020203,166
1924720206,166
1914320206,191
1908320203,166
1907920206,2329
1907420204,180
1907320208,2342
1905820209,406
1905720202,1507
1889120209,2299
1889020202,57
1888820208,2000
1888620205,2301
1885520202,70
1881920206,1162
1872920207,75
1872820200,160
1872720204,2044
1872420205,225
1872220202,225
1872120206,75
1872020200,75
1871620202,75
1871420200,2275
1865520203,39
1862320204,NULL
1862020205,NULL
1855220200,225
1855120203,215
1852620209,929
1815820200,211
1805020204,99
1804620207,254
1803920200,254
1803020203,254
1799920200,332
1799220206,2299
1790120200,1066
1790020204,851
1782820201,2
1779320203,303
1777120200,954
1769620208,645
1769220202,49
1768820205,49
1768220207,49
1768120200,49
1713620202,160
1713520206,75
1713320203,160
1712820200,160
1712620207,160
1712520200,NULL
1712420204,75
1712320208,1701
1711420209,NULL
1711120200,75
1711020203,75
1710920205,160
1710720202,2275
1710620206,160
1705720205,NULL
1704620203,317
1704520207,364
1704120201,335
1684420203,57
1594620207,1457
1578220204,679
1575620203,1873
1575120201,777
1574820200,709
1574720204,1437
1574620208,1017
1574520201,2299
1574320209,2299
1560520205,874
1560320202,849
1560220206,1510
1560120200,709
1560020203,2068
1559920205,2175
1559820209,1838
1559720202,1298
1555420201,520
1555320205,2094
1555020206,NULL
1554120207,99
1553320204,836
1553220208,2213
1553120201,2301
1552820200,2299
1552520201,2299
1552420205,2299
1551820205,2299
1551720209,1683
1551620202,2299
1551020204,2299
1550720203,1493
1550620207,2299
1549920200,1282
1549820204,2299
1549320202,2299
1549020203,2299
1548820209,2299
1548620206,2299
1548420203,1279
1548320207,1545
1522720200,57
1522520208,281
1510420206,1996
1508020200,190
1507720209,166
1507420200,2070
1507320203,184
1507220207,166
1507020204,189
1505220206,16
1505120200,13
1499520204,1705
1499320201,1705
1499220205,1642
1499120209,1705
1495920208,1451
1495820201,639
1495320200,NULL
1495120207,NULL
1328820202,160
1327420201,166
1326620209,273
1326220203,166
1323720209,166
1323320203,539
1322020209,2122
1320820209,1393
1320120204,166
