"id","nome","tipo","estado"
1,"10º BIL Mth - 10º Batalhão de Infantaria Leve - Montanha",3,NULL
2,"11ªUNIT-MT - Superintendência Regional do Dnit No Estado do Mato Grosso - Dnit/MT",2,11
3,"11ºBIL/CE - Comando da 11º Brigada de Infantaria Leve - Md/CE",3,NULL
4,"1º COMAR - 1º Comando Aéreo Regional",3,NULL
5,"25º BC - 25º Batalhão de Caçadores",3,NULL
6,"27ºBLOG - 27º Batalhão Logístico",3,NULL
7,"2ºRCMEC - 2º Regimento de Cavalaria Mecanizado",3,NULL
8,"31ºBIMTZ - 31º Batalhão de Infantaria Motorizado",3,NULL
9,"3ªUNIT-CE - Superintendência Regional do Dnit No Estado do Ceará - Dnit/MT",2,6
10,"3º BECNST - 3º Batalhão de Engenharia de Construção - Md/CE",3,NULL
11,"4º BIL - 4º Batalhão de Infantaria Leve - Md/CE",3,NULL
12,"5ºBLOG - 5º Batalhão Logístico",3,NULL
13,"5ºBSUP - 5º Batalhão de Suprimento",3,NULL
14,"7ºDSUP - 7º Depósito de Suprimento",3,NULL
15,"8ºDSUP - 8º Depósito de Suprimento",3,NULL
16,"9A. BIA AAA (ES) - 9ª Bateria de Artilharia Antiaérea (escola) - Forte Marechal Hermes - Md",3,NULL
17,"Administração Regional do Senac No Estado de São Paulo",3,NULL
18,"Administração Regional do Senac No Estado do Rio de Janeiro",3,NULL
19,"Agencia Estadual de Defesa Agropecuaria do Maranhao",2,10
20,"AGETOP - Agência Goiana de Transportes e Obras",2,9
21,"AJURI AMAZÔNICO - Grupo de Apoio Ao Desenvolvimento Sustentável da Amazônia",2,4
22,"AMAN - Academia Militar das Agulhas Negras",3,NULL
23,"AMAPOC - Associação de Moradores Agroextrativistas da Comunidade da Ponta do Campo, Lago do Capanã Grande",1,14
24,"Amazonas Distribuidora de Energia S.A. (privatizada)",2,4
25,"Amazonas Geração e Transmissão de Energia S.A.",2,4
26,"ANA - Agência Nacional de Águas e Saneamento Básico",3,NULL
27,"Ancine - Agência Nacional do Cinema",3,NULL
28,"ANEEL - Agência Nacional de Energia Elétrica",3,NULL
29,"ANVISA - Agência Nacional de Vigilância Sanitária",3,NULL
30,"APEX Brasil - Agência Brasileira de Promoção de Exportações e Investimentos",3,NULL
31,"ASBT - Associação Sergipana de Blocos de Trio",2,26
32,"Assembleia Legislativa do Rio de Janeiro",2,19
33,"Associação de Assistência e Proteção À Maternidade e À Infância de Mossoró - RN",1,20
34,"Associação dos Agricultores União Progressista
",4,21
35,"BAFL - Base Aérea de Florianópolis",1,24
36,"Banco do Brasil Banco de Investimento S.A.",3,NULL
37,"BATAFN-MM - Batalhão de Artilharia de Fuzileiros Navais - Mm (excluída)",3,NULL
38,"BB - Banco do Brasil S.A.",3,NULL
39,"BNB - Banco do Nordeste do Brasil S.A.",3,NULL
40,"C10ªBDA INF MTZ - Comando da 10ª Brigada de Infantaria Motorizada",3,NULL
41,"C10ªRM - Comando da 10ª Região Militar",3,NULL
42,"C11ªRM - Comando da 11ª Região Militar - Md/CE",3,NULL
43,"C14ªBIMTZ - Comando da 14ª Brigada de Infantaria Motorizada",3,NULL
44,"C1ªRM - Comando da 1ª Região Militar",3,NULL
45,"C2ªRM - Comando da 2ª Região Militar",3,NULL
46,"C3ªRM - Comando da 3ª Região Militar",3,NULL
47,"C4ªRM-4ªDEX - Comando da 4ª Região Militar e 4ª Divisão de Exército",3,NULL
48,"C5ªRM-5ªDEX - Comando da 5ª Região Militar e 5ª Divisão de Exército *** Fundo do Exército",3,NULL
49,"C7ªRM-7ªDEX - Comando da 7ª Região Militar e 7ª Divisão de Exército",3,NULL
50,"Caixa Participações S.A.",3,NULL
51,"Câmara Municipal de Santa Bárbara - MG",1,13
52,"Capes - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",3,NULL
53,"CC/PR - Casa Civil da Presidência da República",3,NULL
54,"CCEE - Câmara de Comercialização de Energia Elétrica",3,NULL
55,"CCIMAR - Centro de Controle Interno da Marinha",3,NULL
56,"CD - Câmara dos Deputados
",3,NULL
57,"CEF - Caixa Econômica Federal",3,NULL
58,"Cefet/RJ - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca",2,19
59,"CEFET-BA - Centro Federal de Educação Tecnológica da Bahia - Mec",2,5
60,"CEITEC - Centro Nacional de Tecnologia Eletrônica Avançada S.a",3,NULL
61,"Cenciar - Centro de Controle Interno da Aeronáutica",3,NULL
62,"CENP - Centro Nacional de Primatas",3,NULL
63,"Centrais Elétricas do Norte do Brasil S.A.",3,NULL
64,"Centro de Pesquisas de Energia Elétrica",3,NULL
65,"Centro de Solidariedade São José",1,4
66,"CF/RR7ªBIS - Comando de Fronteira-Roraima e 7º Batalhão de Infantaria de Selva",3,NULL
67,"CFC - Conselho Federal de Contabilidade",3,NULL
68,"CGABEG - Casa Gerontológica da Aeronáutica - Brigadeiro Eduardo Gomes",3,NULL
69,"CGGP/MC - Coordenação-Geral de Gestão de Pessoas - Mc",3,NULL
70,"CGRL/SAA - Coordenação-Geral de Recursos Logísticos - MT",3,NULL
71,"CGTT - Conselho Geral da Tribo Tikuna",4,4
